Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
int,int_11_trace,203.19092559814453,Pass,624.2081501483917,60000052,16565909,3.6219,4130584,252356,0.2493,0.0152,6.1095%,4.2059,9158351,36.2914,152.6391,30000052,8289301,3.6191,2064453,127619,0.2491,0.0154,6.1817%,4.2540,4627734,36.2621,154.2575
int,int_12_trace,204.59925079345703,Pass,587.3862428665161,59999603,18454516,3.2512,6357220,27398,0.3445,0.0015,0.4310%,0.4566,1026482,37.4656,17.1081,30999603,4969473,6.2380,4522132,26172,0.9100,0.0053,0.5788%,0.8443,944903,36.1036,30.4811
int,int_13_trace,32.30572509765625,Pass,303.418142080307,40000052,6237898,6.4124,4243961,36991,0.6804,0.0059,0.8716%,0.9248,1064785,28.7850,26.6196,20000052,3060787,6.5343,2111572,17419,0.6899,0.0057,0.8249%,0.8709,517035,29.6822,25.8517
int,int_14_trace,177.29002475738525,Pass,325.642058134079,39999640,6990422,5.7221,7635435,15865,1.0923,0.0023,0.2078%,0.3966,403223,25.4159,10.0807,20999640,3398714,6.1787,3974167,6804,1.1693,0.0020,0.1712%,0.3240,155764,22.8930,7.4175
int,int_15_trace,98.1560001373291,Pass,669.9278728961945,70000157,18505236,3.7827,9192864,33514,0.4968,0.0018,0.3646%,0.4788,1848008,55.1414,26.4001,35000157,9308065,3.7602,4669511,31756,0.5017,0.0034,0.6801%,0.9073,1472674,46.3747,42.0762
int,int_16_trace,128.2670030593872,Pass,415.82927918434143,40000031,19002465,2.1050,6733574,325011,0.3544,0.0171,4.8267%,8.1253,7284591,22.4134,182.1146,20000031,8150209,2.4539,3364149,168450,0.4128,0.0207,5.0072%,8.4225,3622888,21.5072,181.1441
int,int_17_trace,128.60758018493652,Pass,412.00004410743713,39999987,16627232,2.4057,6659971,255794,0.4005,0.0154,3.8408%,6.3949,5862475,22.9187,146.5619,20999987,6695060,3.1366,3432362,119801,0.5127,0.0179,3.4903%,5.7048,2634785,21.9930,125.4660
int,int_18_trace,108.31880569458008,Pass,424.40954089164734,39999864,10814890,3.6986,9457814,33897,0.8745,0.0031,0.3584%,0.8474,1507895,44.4846,37.6975,20999864,5166198,4.0649,4985263,14726,0.9650,0.0029,0.2954%,0.7012,599804,40.7310,28.5623
int,int_19_trace,184.28955841064453,Pass,389.36205410957336,40000052,8021952,4.9863,5852871,33928,0.7296,0.0042,0.5797%,0.8482,1436022,42.3256,35.9005,20000052,3785747,5.2830,2929049,13244,0.7737,0.0035,0.4522%,0.6622,604591,45.6502,30.2295
int,int_20_trace,187.00185585021973,Pass,493.03613018989563,60000051,17325628,3.4631,9561405,167471,0.5519,0.0097,1.7515%,2.7912,5291208,31.5948,88.1867,30000051,7185699,4.1750,4877083,80459,0.6787,0.0112,1.6497%,2.6820,2245702,27.9111,74.8566
int,int_21_trace,91.63193035125732,Pass,301.6212360858917,40000052,46437161,0.8614,9059172,966011,0.1951,0.0208,10.6633%,24.1502,41560537,43.0228,1039.0121,20000052,22847486,0.8754,4504449,495434,0.1972,0.0217,10.9988%,24.7716,20377013,41.1296,1018.8480
int,int_22_trace,96.68442058563232,Pass,433.350124835968,40000052,23128965,1.7294,6671960,215859,0.2885,0.0093,3.2353%,5.3965,15759085,73.0064,393.9766,20000052,11435064,1.7490,3314359,108124,0.2898,0.0095,3.2623%,5.4062,7791228,72.0583,389.5604
int,int_23_trace,182.35865116119385,Pass,422.5074770450592,40000052,18507313,2.1613,5329093,139295,0.2879,0.0075,2.6139%,3.4824,6336006,45.4862,158.3999,20000052,8603665,2.3246,2669216,67286,0.3102,0.0078,2.5208%,3.3643,2704024,40.1870,135.2008
int,int_24_trace,145.24023818969727,Pass,450.32770013809204,40000051,14575551,2.7443,8385203,22650,0.5753,0.0016,0.2701%,0.5662,2691771,118.8420,67.2942,20000051,6920939,2.8898,4599578,9644,0.6646,0.0014,0.2097%,0.4822,1171876,121.5135,58.5937
int,int_25_trace,169.04896354675293,Pass,434.6022210121155,40000052,7682478,5.2067,2766410,52971,0.3601,0.0069,1.9148%,1.3243,1998583,37.7298,49.9645,20000052,4236984,4.7204,1541724,45923,0.3639,0.0108,2.9787%,2.2961,1528117,33.2756,76.4057
int,int_26_trace,197.17267227172852,Pass,427.93659806251526,40000052,6816682,5.8680,2130479,53507,0.3125,0.0078,2.5115%,1.3377,1803880,33.7130,45.0969,20000052,3197573,6.2548,1067816,24833,0.3339,0.0078,2.3256%,1.2416,856473,34.4893,42.8235
int,int_27_trace,219.70562553405762,Pass,445.4675860404968,40000052,6374047,6.2755,1891315,34912,0.2967,0.0055,1.8459%,0.8728,1147995,32.8825,28.6998,20000052,2956504,6.7648,940632,14946,0.3182,0.0051,1.5889%,0.7473,511005,34.1901,25.5502
int,int_28_trace,185.9219560623169,Pass,379.46780490875244,40000052,8459793,4.7283,4006233,146982,0.4736,0.0174,3.6688%,3.6745,3712007,25.2548,92.8001,20000052,4108393,4.8681,1994428,68750,0.4855,0.0167,3.4471%,3.4375,1767462,25.7085,88.3729
int,int_29_trace,181.88746547698975,Pass,402.32107520103455,40000052,15947770,2.5082,4048870,498290,0.2539,0.0312,12.3069%,12.4572,12090376,24.2637,302.2590,20000052,7726128,2.5886,2031315,242643,0.2629,0.0314,11.9451%,12.1321,5829744,24.0260,291.4864
int,int_30_trace,182.9177484512329,Pass,399.1343569755554,40000052,16300972,2.4538,4219863,517710,0.2589,0.0318,12.2684%,12.9427,12402976,23.9574,310.0740,20000052,7917386,2.5261,2099953,251288,0.2652,0.0317,11.9664%,12.5644,5997607,23.8675,299.8796
int,int_31_trace,118.0513105392456,Pass,400.0015170574188,40000052,4697945,8.5144,4773947,33645,1.0162,0.0072,0.7048%,0.8411,645702,19.1916,16.1425,20000052,2233916,8.9529,2359187,12716,1.0561,0.0057,0.5390%,0.6358,245072,19.2727,12.2536
int,int_32_trace,317.2076416015625,Pass,991.9901440143585,110000052,86305978,1.2745,12636052,765057,0.1464,0.0089,6.0546%,6.9551,74230805,97.0265,674.8252,55000052,37976425,1.4483,6322521,377771,0.1665,0.0099,5.9750%,6.8686,32008519,84.7300,581.9725
int,int_33_trace,310.41816425323486,Pass,821.3115088939667,110000052,54219198,2.0288,16062450,878648,0.2963,0.0162,5.4702%,7.9877,42543361,48.4191,386.7576,55000052,26259136,2.0945,7710997,449296,0.2937,0.0171,5.8267%,8.1690,20555491,45.7504,373.7358
int,int_34_trace,112.3776216506958,Pass,354.12319111824036,40000052,11174604,3.5795,6380286,122813,0.5710,0.0110,1.9249%,3.0703,5660656,46.0917,141.5162,20000052,4948130,4.0419,3101677,63963,0.6268,0.0129,2.0622%,3.1981,2552654,39.9083,127.6324
int,int_35_trace,119.88736820220947,Pass,369.0784270763397,40000048,11505122,3.4767,5671843,98587,0.4930,0.0086,1.7382%,2.4647,5351729,54.2843,133.7931,20000048,5550292,3.6034,2842811,46800,0.5122,0.0084,1.6463%,2.3400,2514285,53.7240,125.7139
int,int_36_trace,201.8018684387207,Pass,550.5464038848877,53761949,35582808,1.5109,7755130,214083,0.2179,0.0060,2.7605%,3.9821,9785315,45.7080,182.0119,27761949,15416302,1.8008,4116890,105728,0.2670,0.0069,2.5682%,3.8084,4379410,41.4215,157.7487
fp,fp_0_trace,64.73471260070801,Pass,288.04689502716064,30000052,6806762,4.4074,1619852,96811,0.2380,0.0142,5.9765%,3.2270,3032354,31.3224,101.0783,15000052,3429530,4.3738,807780,49711,0.2355,0.0145,6.1540%,3.3141,1554459,31.2699,103.6302
fp,fp_1_trace,42.69381523132324,Pass,259.80111479759216,30000052,30423720,0.9861,5950800,467449,0.1956,0.0154,7.8552%,15.5816,26721438,57.1644,890.7131,15000052,15229086,0.9850,2965791,234752,0.1947,0.0154,7.9153%,15.6501,13387849,57.0298,892.5202
fp,fp_2_trace,113.98153591156006,Pass,392.2060971260071,30000052,6215210,4.8269,2471756,76844,0.3977,0.0124,3.1089%,2.5615,2698134,35.1118,89.9376,15000052,3067702,4.8897,1232306,39203,0.4017,0.0128,3.1813%,2.6135,1356681,34.6066,90.4451
fp,fp_3_trace,223.02585411071777,Pass,454.153972864151,30000052,12794203,2.3448,1539997,60945,0.1204,0.0048,3.9575%,2.0315,6715360,110.1872,223.8449,15000052,6386530,2.3487,770204,31215,0.1206,0.0049,4.0528%,2.0810,3393313,108.7078,226.2201
fp,fp_4_trace,106.30326175689697,Pass,385.3381419181824,30000052,6539941,4.5872,2573337,17207,0.3935,0.0026,0.6687%,0.5736,1010474,58.7246,33.6824,15000052,2608089,5.7514,1285217,6594,0.4928,0.0025,0.5131%,0.4396,284058,43.0783,18.9371
fp,fp_5_trace,332.9483413696289,Pass,671.6711661815643,40000016,7567836,5.2855,740391,37456,0.0978,0.0049,5.0589%,0.9364,1283297,34.2615,32.0824,20000016,3749190,5.3345,370890,18645,0.0989,0.0050,5.0271%,0.9322,641183,34.3890,32.0591
fp,fp_6_trace,63.58891201019287,Pass,435.18818187713623,40000016,5845956,6.8423,7034423,40772,1.2033,0.0070,0.5796%,1.0193,1515942,37.1810,37.8985,20000016,2836989,7.0497,3515104,19022,1.2390,0.0067,0.5412%,0.9511,711332,37.3952,35.5666
fp,fp_7_trace,159.0718936920166,Pass,542.7907290458679,40000016,7881807,5.0750,4716883,45110,0.5985,0.0057,0.9564%,1.1277,1932342,42.8362,48.3085,20000016,3719888,5.3765,2394520,19320,0.6437,0.0052,0.8068%,0.9660,828152,42.8650,41.4076
fp,fp_8_trace,211.10272789001465,Pass,551.8577139377594,40000016,13212988,3.0273,2322129,314952,0.1757,0.0238,13.5631%,7.8738,7166962,22.7557,179.1740,20000016,7384504,2.7084,1347173,222234,0.1824,0.0301,16.4963%,11.1117,4993058,22.4676,249.6527
fp,fp_9_trace,143.53112411499023,Pass,564.3208341598511,40000016,16707684,2.3941,5012816,182074,0.3000,0.0109,3.6322%,4.5518,11928295,65.5134,298.2073,20000016,8027245,2.4915,2500178,98187,0.3115,0.0122,3.9272%,4.9093,5724562,58.3026,286.2279
fp,fp_10_trace,270.7881956100464,Pass,628.068531036377,40000016,6906521,5.7916,3492402,84696,0.5057,0.0123,2.4252%,2.1174,1849833,21.8409,46.2458,20000016,3394268,5.8923,1748758,40644,0.5152,0.0120,2.3242%,2.0322,890206,21.9025,44.5103
fp,fp_11_trace,297.7953281402588,Pass,619.577290058136,40000016,7618526,5.2504,3526510,27956,0.4629,0.0037,0.7927%,0.6989,614319,21.9745,15.3580,20000016,3681981,5.4319,1776440,13741,0.4825,0.0037,0.7735%,0.6870,296226,21.5578,14.8113
fp,fp_12_trace,48.495734214782715,Pass,487.8695092201233,40000016,8115976,4.9286,4420257,48627,0.5446,0.0060,1.1001%,1.2157,3007701,61.8525,75.1925,20000016,3937453,5.0794,2222665,21585,0.5645,0.0055,0.9711%,1.0792,1342231,62.1835,67.1115
fp,fp_13_trace,84.63656806945801,Pass,425.426176071167,40000016,15292133,2.6157,6454282,507592,0.4221,0.0332,7.8644%,12.6898,10787794,21.2529,269.6947,20000016,7507852,2.6639,3233671,254350,0.4307,0.0339,7.8657%,12.7175,5311866,20.8841,265.5931
web,web_0_trace,104.021315574646,Pass,461.83564376831055,39999493,19824864,2.0176,11904941,55845,0.6005,0.0028,0.4691%,1.3961,6490653,116.2262,162.2684,20999493,9778989,2.1474,6370198,20578,0.6514,0.0021,0.3230%,0.9799,2280927,110.8430,108.6182
web,web_1_trace,158.93916416168213,Pass,418.46247816085815,39999048,12188839,3.2816,5515292,140742,0.4525,0.0115,2.5519%,3.5186,4666737,33.1581,116.6712,20999048,5065818,4.1452,2909408,74923,0.5743,0.0148,2.5752%,3.5679,2041679,27.2504,97.2272
web,web_2_trace,126.7424545288086,Pass,434.686439037323,39999746,12162743,3.2887,5842811,166639,0.4804,0.0137,2.8520%,4.1660,4557452,27.3493,113.9370,20999746,5918095,3.5484,3176039,92251,0.5367,0.0156,2.9046%,4.3930,2666919,28.9094,126.9977
web,web_3_trace,134.2002592086792,Pass,414.17168283462524,39999981,12363767,3.2353,6018442,159158,0.4868,0.0129,2.6445%,3.9790,4697947,29.5175,117.4487,20999981,5654770,3.7137,3382696,73066,0.5982,0.0129,2.1600%,3.4793,2507805,34.3225,119.4194
web,web_4_trace,107.63480854034424,Pass,417.47032499313354,39999718,13435257,2.9772,6265226,177540,0.4663,0.0132,2.8337%,4.4385,5169722,29.1186,129.2440,20999718,6380290,3.2913,3426349,82543,0.5370,0.0129,2.4091%,3.9307,2270913,27.5119,108.1402
web,web_5_trace,119.46124076843262,Pass,406.9347720146179,39999694,12506945,3.1982,6198022,188476,0.4956,0.0151,3.0409%,4.7119,4863460,25.8041,121.5874,20999694,6539619,3.2111,3330435,112998,0.5093,0.0173,3.3929%,5.3809,2835154,25.0903,135.0093
web,web_6_trace,115.35440254211426,Pass,422.82706594467163,40000022,13193899,3.0317,6002648,195574,0.4550,0.0148,3.2581%,4.8893,5706259,29.1770,142.6564,20000022,6904715,2.8966,2962421,120819,0.4290,0.0175,4.0784%,6.0409,3497624,28.9493,174.8810
web,web_7_trace,41.589111328125,Pass,328.0113389492035,39999850,10449578,3.8279,6633962,310102,0.6349,0.0297,4.6745%,7.7526,5723701,18.4575,143.0931,20999850,5033973,4.1716,3471337,147583,0.6896,0.0293,4.2515%,7.0278,2531405,17.1524,120.5440
web,web_8_trace,110.87185478210449,Pass,418.674400806427,39999955,14115315,2.8338,6210740,204349,0.4400,0.0145,3.2903%,5.1087,5324224,26.0546,133.1057,20999955,5934691,3.5385,3431526,94252,0.5782,0.0159,2.7466%,4.4882,2350441,24.9378,111.9260
web,web_9_trace,113.31267833709717,Pass,441.8964989185333,39999863,14253065,2.8064,6952037,117305,0.4878,0.0082,1.6873%,2.9326,2848704,24.2846,71.2178,20999863,4412638,4.7590,4136031,3297,0.9373,0.0007,0.0797%,0.1570,63319,19.2050,3.0152
web,web_10_trace,67.32332420349121,Pass,207.66328191757202,19999796,11254432,1.7771,2621960,67319,0.2330,0.0060,2.5675%,3.3660,2049367,30.4426,102.4694,10999796,3361366,3.2724,1436395,28273,0.4273,0.0084,1.9683%,2.5703,747489,26.4383,67.9548
web,web_11_trace,43.46553611755371,Pass,105.080739736557,10001443,11690760,0.8555,1391369,57903,0.1190,0.0050,4.1616%,5.7895,2207557,38.1251,220.7238,5001443,5161129,0.9691,674449,29985,0.1307,0.0058,4.4459%,5.9953,1041622,34.7381,208.2643
web,web_12_trace,61.48514461517334,Pass,155.12688279151917,15000009,9341910,1.6057,2254326,66545,0.2413,0.0071,2.9519%,4.4363,2173260,32.6585,144.8839,8000009,4324219,1.8500,1175254,40011,0.2718,0.0093,3.4045%,5.0014,1195890,29.8890,149.4861
web,web_13_trace,134.68522262573242,Pass,451.8288109302521,39999813,17197650,2.3259,4813533,135751,0.2799,0.0079,2.8202%,3.3938,4177506,30.7733,104.4381,20999813,7284355,2.8829,2687998,64215,0.3690,0.0088,2.3890%,3.0579,2110810,32.8710,100.5157
web,web_14_trace,235.48800468444824,Pass,702.1991839408875,70000043,19825074,3.5309,11059737,256389,0.5579,0.0129,2.3182%,3.6627,10712547,41.7824,153.0363,35000043,8556339,4.0905,5268168,99962,0.6157,0.0117,1.8975%,2.8561,4204169,42.0577,120.1190
web,web_15_trace,61.94837951660156,Pass,150.57094979286194,14999858,8171185,1.8357,2411251,91580,0.2951,0.0112,3.7980%,6.1054,2602922,28.4224,173.5298,7999858,3411047,2.3453,1229867,44062,0.3606,0.0129,3.5827%,5.5078,1101266,24.9936,137.6607
web,web_16_trace,61.720746994018555,Pass,228.52365112304688,20000052,10030330,1.9940,1486259,37076,0.1482,0.0037,2.4946%,1.8538,1323964,35.7095,66.1980,10000052,6979080,1.4329,732871,25998,0.1050,0.0037,3.5474%,2.5998,915041,35.1966,91.5036
web,web_17_trace,54.710463523864746,Pass,152.9196789264679,15000021,6203005,2.4182,2215426,25901,0.3572,0.0042,1.1691%,1.7267,1000783,38.6388,66.7188,8000021,2301504,3.4760,1069158,5985,0.4645,0.0026,0.5598%,0.7481,194531,32.5031,24.3163
web,web_18_trace,40.12125015258789,Pass,139.3312497138977,15000059,3967093,3.7811,1853795,42691,0.4673,0.0108,2.3029%,2.8461,2085737,48.8566,139.0486,8000059,2001276,3.9975,994147,21360,0.4968,0.0107,2.1486%,2.6700,1054150,49.3516,131.7678
web,web_19_trace,46.80075454711914,Pass,150.0811698436737,15000016,9708057,1.5451,2562002,90113,0.2639,0.0093,3.5173%,6.0075,2652729,29.4378,176.8484,8000016,4477370,1.7868,1380363,60126,0.3083,0.0134,4.3558%,7.5157,1394711,23.1965,174.3385
web,web_20_trace,91.22524166107178,Pass,201.6941020488739,20000004,10622365,1.8828,3186911,84360,0.3000,0.0079,2.6471%,4.2180,2405539,28.5152,120.2769,10000004,3864886,2.5874,1586755,24995,0.4106,0.0065,1.5752%,2.4995,700665,28.0322,70.0665
web,web_21_trace,37.0328950881958,Pass,150.48332381248474,15000054,5979248,2.5087,2614946,25911,0.4373,0.0043,0.9909%,1.7274,2102073,81.1267,140.1377,8000054,4785447,1.6717,1411368,20846,0.2949,0.0044,1.4770%,2.6057,1909845,91.6169,238.7290
web,web_22_trace,51.9125394821167,Pass,189.08662796020508,20000051,6022013,3.3212,2417352,67791,0.4014,0.0113,2.8043%,3.3895,3028282,44.6709,151.4137,10000051,2653499,3.7686,1222376,31360,0.4607,0.0118,2.5655%,3.1360,1449700,46.2277,144.9693
web,web_23_trace,60.17267894744873,Pass,206.51464581489563,20000047,6339599,3.1548,3286069,23079,0.5183,0.0036,0.7023%,1.1539,811106,35.1448,40.5552,10000047,4616351,2.1662,1544231,17933,0.3345,0.0039,1.1613%,1.7933,616147,34.3583,61.6144
web,web_24_trace,80.5669527053833,Pass,161.19837832450867,14999923,8442950,1.7766,1985890,30684,0.2352,0.0036,1.5451%,2.0456,930775,30.3342,62.0520,7999923,4035258,1.9825,1067447,14552,0.2645,0.0036,1.3633%,1.8190,421964,28.9970,52.7460
web,web_25_trace,46.08135795593262,Pass,154.98309516906738,14999989,7434913,2.0175,2548670,95689,0.3428,0.0129,3.7545%,6.3793,3201488,33.4572,213.4327,7999989,3053779,2.6197,1342253,55675,0.4395,0.0182,4.1479%,6.9594,1821007,32.7078,227.6262
media,media_0_trace,111.51635646820068,Pass,184.3059539794922,20000044,3383121,5.9117,1125035,23528,0.3325,0.0070,2.0913%,1.1764,614652,26.1243,30.7325,10000044,1491662,6.7040,559613,9001,0.3752,0.0060,1.6084%,0.9001,242518,26.9435,24.2517
media,media_1_trace,93.95407485961914,Pass,228.32448530197144,20000048,3579648,5.5872,1052168,23180,0.2939,0.0065,2.2031%,1.1590,617207,26.6267,30.8603,10000048,1554623,6.4325,496668,7146,0.3195,0.0046,1.4388%,0.7146,202680,28.3627,20.2679
media,media_2_trace,114.14013576507568,Pass,226.0368709564209,20000038,3105888,6.4394,682290,10635,0.2197,0.0034,1.5587%,0.5317,597549,56.1870,29.8774,10000038,1662720,6.0143,342782,7329,0.2062,0.0044,2.1381%,0.7329,392566,53.5634,39.2565
media,media_3_trace,113.6968765258789,Pass,184.09400701522827,20000046,3523269,5.6766,1130407,27626,0.3208,0.0078,2.4439%,1.3813,727323,26.3275,36.3661,10000046,1594607,6.2712,568763,12117,0.3567,0.0076,2.1304%,1.2117,329939,27.2294,32.9937
compress,compress_0_trace,334.9084711074829,Pass,1113.6429080963135,120000052,25483005,4.7090,11747875,392169,0.4610,0.0154,3.3382%,3.2681,13900999,35.4465,115.8416,60000052,11929200,5.0297,5895554,196273,0.4942,0.0165,3.3292%,3.2712,6419055,32.7047,106.9842
compress,compress_1_trace,108.6102991104126,Pass,317.41752409935,30778699,6554021,4.6962,3314657,51812,0.5057,0.0079,1.5631%,1.6834,1309988,25.2835,42.5615,15778699,3012044,5.2385,1700956,28933,0.5647,0.0096,1.7010%,1.8337,631753,21.8350,40.0383
compress,compress_2_trace,111.43396472930908,Pass,335.10482001304626,32339109,6640048,4.8703,3601347,47947,0.5424,0.0072,1.3314%,1.4826,1249070,26.0511,38.6241,16339109,3022431,5.4059,1821008,26750,0.6025,0.0089,1.4690%,1.6372,607898,22.7252,37.2051
compress,compress_3_trace,334.29114055633545,Pass,1176.7623450756073,130000020,59797903,2.1740,15702832,1072481,0.2626,0.0179,6.8299%,8.2499,47852890,44.6189,368.0991,65000020,26395152,2.4626,7896218,503310,0.2992,0.0191,6.3741%,7.7432,20082897,39.9016,308.9676
compress,compress_4_trace,108.21294689178467,Pass,329.4436421394348,31160801,6579572,4.7360,3496423,56800,0.5314,0.0086,1.6245%,1.8228,1464029,25.7752,46.9830,16160801,3013419,5.3629,1816226,27296,0.6027,0.0091,1.5029%,1.6890,656439,24.0489,40.6192
compress,compress_5_trace,111.82196044921875,Pass,348.5701861381531,33811883,6992420,4.8355,3890650,65333,0.5564,0.0093,1.6792%,1.9322,1686291,25.8107,49.8727,17811883,3235970,5.5043,2056891,30563,0.6356,0.0094,1.4859%,1.7159,762986,24.9644,42.8358
compress,compress_6_trace,111.95520496368408,Pass,352.11711502075195,33826271,7007211,4.8274,3887104,64391,0.5547,0.0092,1.6565%,1.9036,1660044,25.7807,49.0756,17826271,3240630,5.5009,2060235,30198,0.6358,0.0093,1.4658%,1.6940,749527,24.8204,42.0462
compress,compress_7_trace,399.4104585647583,Pass,1376.5248157978058,130000052,24004499,5.4157,15042451,266242,0.6267,0.0111,1.7699%,2.0480,6720282,25.2413,51.6945,65000052,12279523,5.2934,7447474,164892,0.6065,0.0134,2.2141%,2.5368,3869157,23.4648,59.5254
infra,infra_0_trace,94.09143447875977,Pass,420.33946084976196,40000016,8849295,4.5201,5140781,51328,0.5809,0.0058,0.9984%,1.2832,1491214,29.0526,37.2803,20000016,4402530,4.5428,2582400,26487,0.5866,0.0060,1.0257%,1.3243,792356,29.9149,39.6178
infra,infra_1_trace,175.13615703582764,Pass,413.90093207359314,37799521,8188465,4.6162,4337669,13509,0.5297,0.0016,0.3114%,0.3574,590756,43.7306,15.6287,19799521,3728024,5.3110,2263258,3789,0.6071,0.0010,0.1674%,0.1914,124839,32.9477,6.3052
infra,infra_2_trace,221.61112022399902,Pass,788.683632850647,47546686,10634682,4.4709,5818731,23002,0.5471,0.0022,0.3953%,0.4838,717115,31.1762,15.0823,24546686,4321917,5.6796,2997214,7812,0.6935,0.0018,0.2606%,0.3183,149172,19.0952,6.0771
infra,infra_3_trace,83.57435989379883,Pass,415.5572319030762,40000016,8067704,4.9580,5433078,42530,0.6734,0.0053,0.7828%,1.0632,1096864,25.7904,27.4216,20000016,4001584,4.9980,2737308,19736,0.6841,0.0049,0.7210%,0.9868,519607,26.3279,25.9803
infra,infra_4_trace,84.87091732025146,Pass,433.5440089702606,40000016,23955251,1.6698,5988066,99161,0.2500,0.0041,1.6560%,2.4790,12293775,123.9779,307.3443,20000016,11990897,1.6679,2971304,50133,0.2478,0.0042,1.6872%,2.5066,6181793,123.3079,309.0894
infra,infra_5_trace,58.871103286743164,Pass,427.62697291374207,40000016,34494956,1.1596,7268207,88475,0.2107,0.0026,1.2173%,2.2119,26313980,297.4171,657.8492,20000016,22160729,0.9025,3539219,63089,0.1597,0.0028,1.7826%,3.1544,18322092,290.4166,916.1039
infra,infra_6_trace,168.09687328338623,Pass,680.8144240379333,64718349,15398661,4.2029,9187928,81816,0.5967,0.0053,0.8905%,1.2642,3176524,38.8252,49.0823,32718349,7747457,4.2231,5004718,39560,0.6460,0.0051,0.7905%,1.2091,1817718,45.9484,55.5565
infra,infra_7_trace,65.31903553009033,Pass,438.4998981952667,40000016,21860677,1.8298,6716982,59934,0.3073,0.0027,0.8923%,1.4983,8235878,137.4158,205.8969,20000016,11200946,1.7856,3345402,16963,0.2987,0.0015,0.5071%,0.8481,3454195,203.6311,172.7096
